2025-06-26 08:44:45,740 - INFO - ====== WebDriver manager ======
2025-06-26 08:44:47,011 - INFO - Get LATEST chromedriver version for google-chrome
2025-06-26 08:44:47,747 - INFO - Get LATEST chromedriver version for google-chrome
2025-06-26 08:44:48,450 - INFO - Driver [C:\Users\edeconsil\.wdm\drivers\chromedriver\win64\137.0.7151.119\chromedriver-win32/chromedriver.exe] found in cache
2025-06-26 08:45:27,822 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,822 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,822 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,822 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,822 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,822 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,822 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,822 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,822 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,822 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,822 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,822 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,822 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,822 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,822 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,823 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,823 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,823 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,823 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,823 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,823 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,823 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,823 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,823 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,823 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,823 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,823 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,823 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,823 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,823 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,823 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,823 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,823 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,823 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,823 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,824 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,824 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,824 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,824 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,824 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,824 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,824 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,824 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,824 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,824 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,824 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,824 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,824 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,824 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,824 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,824 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,824 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,824 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,824 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,824 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,824 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,824 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
